source,target
2458510,1082671
2458510,1082671
1077792,1082671
1077792,1082671
2458510,1082671
1976223,1082671
2458510,1082671
1185380,1082671
1082671,2458510
1077792,1082671
1082671,1976223
1082671,351646
1082671,1976223
1082671,1185380
1082671,1976223
1976223,1082671
2458510,1082671
1082671,2458510
1082671,2458510
1077792,1082671
1976223,1082671
1082671,2458510
1082671,1976223
1082671,2458510
1976223,1082671
1185380,1082671
2458510,1082671
1082671,2945945
1077792,1082671
1077792,1082671
1082671,1093205
1077792,1082671
1082671,1185380
708461,1082671
1077792,1082671
1082671,1077792
1976223,1082671
1082671,464651
1082671,1077792
1077792,1082671
1082671,2276258
1077792,1082671
1976223,1082671
1082671,1077792
1077792,1082671
1153759,1082671
706538,1082671
706538,1082671
2458510,1082671
1082671,2945945
1082671,1081956
1082671,323681
1082671,1251340
1082671,988148
1077792,1082671
1175778,1082671
1082671,1077792
1082671,1093205
1175778,1082671
1082671,1077792
1082671,1077792
1082671,1093205
1082671,1077792
1082671,1077792
1093205,1082671
1082671,1093205
1082671,1040481
1082671,1327916
1093205,1082671
207505,1082671
1082671,207505
1175778,1082671
1093205,1082671
1082671,1093205
1077792,1082671
2874779,1084221
1290956,1084221
1084221,2874779
1084221,1123869
6666498,1084221
753820,1084221
1084221,2037694
1084221,2290618
1084221,1082173
1084221,1148588
1084221,1471054
842858,1084221
1084221,784249
1084221,1123869
2290618,1084221
1084221,463809
1084221,458588
1084221,1144484
1084221,458588
1084221,1148588
1084221,1485999
4797645,1084221
1148588,1084221
1084221,1148588
4797645,1084221
1084221,1148588
1084221,458588
1084221,458588
753820,1084221
1084221,1883982
1084221,1016553
1084221,1148588
1084221,458588
648858,1084221
1084221,1382119
1084221,1148588
1084221,784249
1084221,463809
1084221,458588
1084221,1123869
1084221,959301
394088,1084221
1084221,1356766
1084221,458588
1084221,1148588
1084221,458588
1084221,1148588
1084221,458588
1084221,1148588
1084221,1413684
1084221,983101
1084221,1148588
1084221,458588
1148588,1084221
1084221,1148588
1084221,458588
1148588,1084221
1084221,1148588
1084221,458588
707877,1084221
1148588,1084221
1084221,1148588
1148588,1084221
1084221,1148588
1160569,1084221
1084221,1148588
1148588,1084221
753820,1084221
1084221,458588
988735,1084221
1084221,458588
1084221,1148588
1148588,1084221
1084221,1148588
1084221,458588
1084221,1268122
1084221,1268122
699265,1084221
1084221,699265
1084221,1268122
1148588,1084221
1084221,1412864
1084221,1086824
1084221,784448
1084221,753820
1084221,984300
1084221,458588
756636,1084221
1084221,2361297
1084221,1539052
1084221,753820
1268122,1084221
1148588,1084221
1148588,1084221
1084221,786230
1268122,1084221
1268122,1084221
1084221,784249
784249,1084221
1084221,1123869
690681,1084221
1084221,1148588
756636,1084221
1084221,458588
1148588,1084221
1268122,1084221
1268122,1084221
1148588,1084221
1084221,753820
650120,1084221
1084221,418332
458588,1084221
1268122,1084221
1268122,1084221
1148588,1084221
458588,1084221
1084221,458588
1084221,1148588
1084221,458588
1084221,1082173
1084221,349215
1082173,1084221
1084221,320980
1084221,458588
1084221,1148588
1268122,1084221
1148588,1084221
458588,1084221
1084221,723840
1148588,1084221
404435,1084221
1148588,1084221
786230,1084221
1084221,983418
723840,1084221
1084221,723840
723840,1084221
1084221,723840
723840,1084221
1084221,723840
1387279,1084221
1029268,1084221
480202,1084221
436504,1084221
1611693,1084221
723840,1084221
1084221,723840
476542,1084221
788221,1084221
786230,1084221
1412864,1084221
707877,1084221
1084221,1158022
1084221,753820
842858,1084221
1084221,788221
1084221,788221
1148588,1084221
723840,1084221
1084221,723840
1024689,1084221
418332,1084221
723840,1084221
1084221,1049108
1297543,1084221
320972,1084221
1470748,1084221
337058,1084221
1148588,1084221
372611,1084221
1154803,1084221
401730,1084221
1084221,401730
401730,1084221
401730,1084221
1084221,401730
677001,1084221
355510,1084221
952381,1084221
520343,1084221
652626,1084221
1450934,1084221
1084221,1450934
1450934,1084221
436504,1084221
1450934,1084221
436504,1084221
959262,1084221
436504,1084221
721959,1084221
1043913,1084221
791952,1084221
1450934,1084221
1450934,1084221
723840,1084221
1084221,723840
723840,1084221
1084221,1158022
1084221,1158022
1084221,1158022
1084221,1159933
1084221,959301
1084221,418332
1084221,723840
1084221,458588
1084221,1148588
1084221,983101
1084221,753820
1084221,1158022
1084221,786230
1084221,1029328
1084221,756636
1084221,586661
1084221,559891
1084221,723840
1084221,786230
1102536,412072
1102536,5424496
4148958,1102536
1743703,1102536
1743703,1102536
1102536,5790885
5424496,1102536
1102536,2592653
5424496,1102536
5424496,1102536
5646807,1102536
5646807,1102536
1102536,1202333
5424496,1102536
1743703,1102536
917468,1102536
4148958,1102536
2986853,1102536
3125368,1102536
2986853,1102536
3023440,1102536
1102536,3023440
3023440,1102536
3030233,1102536
2986853,1102536
817462,1102536
573405,1102536
1102536,896235
1104252,1505135
606316,1104252
2588216,1104252
1104252,1374403
1104252,1221208
1374403,1104252
1104252,6380009
1104252,6104973
671173,1104252
1221208,1104252
1104252,1221208
1374403,1104252
1104252,959301
4105187,1104252
1104252,959301
1104252,1192945
2588216,1104252
1374403,1104252
1104252,1192945
1104252,2588216
1104252,1429971
1104252,1221208
1104252,563354
1104252,1374403
2273022,1104252
1221208,1104252
1374403,1104252
1942404,1104252
1104252,1071334
1104252,1435450
1104252,2651174
1104252,1435450
1104252,1221208
1104252,1221208
1104252,1221208
1104252,1221208
1104252,1435450
1104252,1435450
1685097,1104252
1104252,1175487
1374403,1104252
1374403,1104252
1104252,1435450
1104252,2588216
2588216,1104252
1104252,1374403
1104252,1374403
1374403,1104252
1104252,1374403
1104252,1374403
1374403,1104252
1104252,2838687
1374403,1104252
1374403,1104252
1104252,1374403
1435450,1104252
1374403,1104252
2350337,1104252
1465020,1104252
1104252,1374403
1104252,784203
1221208,1104252
1071334,1104252
